"USER_ID","Income","Gender","HouseholdStatus","EducationLevel","Q109244","Q114152","Q115611","Q118232","Q98197","Q116953","Q117193"
96,"$75,000 - $100,000","Male","Married (w/kids)","Master's Degree","No","No","No","Idealist","No","Yes","Standard hours"
100,"$100,001 - $150,000","Male","Married (w/kids)","Bachelor's Degree","No","Yes","Yes","Idealist","No","Yes","Standard hours"
104,"$25,001 - $50,000","Male","Married (no kids)","Bachelor's Degree","Yes","No","Yes","Idealist","No","Yes","Standard hours"
105,"over $150,000","Female","Married (w/kids)","Current Undergraduate","","","No","","Yes","Yes","Standard hours"
108,"under $25,000","Male","Single (no kids)","High School Diploma","No","No","Yes","Pragmatist","No","",""
124,"under $25,000","Female","Single (no kids)","Bachelor's Degree","Yes","No","No","","","",""
125,"$50,000 - $74,999","Female","Single (no kids)","","","","No","","","","Standard hours"
127,"over $150,000","Male","Single (w/kids)","Doctoral Degree","No","No","No","Pragmatist","No","No","Standard hours"
128,"","Female","Single (no kids)","Current Undergraduate","","","No","","Yes","","Standard hours"
129,"","Male","Married (w/kids)","","No","","","","","No",""
130,"under $25,000","Female","Single (no kids)","Bachelor's Degree","Yes","Yes","No","Idealist","Yes","",""
139,"$25,001 - $50,000","Male","Married (no kids)","Bachelor's Degree","No","No","Yes","Idealist","Yes","Yes","Odd hours"
149,"$75,000 - $100,000","Male","Married (w/kids)","High School Diploma","No","Yes","Yes","Idealist","No","Yes","Standard hours"
151,"$25,001 - $50,000","Male","Single (no kids)","High School Diploma","No","No","Yes","Idealist","No","Yes","Standard hours"
154,"$75,000 - $100,000","Male","Married (w/kids)","High School Diploma","No","No","Yes","","No","Yes","Standard hours"
158,"","Male","Married (no kids)","","No","Yes","Yes","Idealist","No","No","Odd hours"
159,"$75,000 - $100,000","Female","Single (no kids)","Current Undergraduate","No","No","No","Idealist","No","Yes","Standard hours"
168,"over $150,000","Male","Married (w/kids)","Master's Degree","Yes","Yes","Yes","Idealist","Yes","Yes","Standard hours"
177,"$25,001 - $50,000","Male","Married (no kids)","Master's Degree","No","Yes","Yes","","Yes","Yes","Standard hours"
185,"$75,000 - $100,000","Male","Single (no kids)","Bachelor's Degree","No","Yes","No","Idealist","Yes","Yes","Odd hours"
192,"$100,001 - $150,000","Male","Married (w/kids)","Bachelor's Degree","No","Yes","No","Pragmatist","No","Yes","Odd hours"
195,"under $25,000","Male","Single (no kids)","Current K-12","","No","","Pragmatist","","Yes","Standard hours"
198,"$75,000 - $100,000","Female","Married (w/kids)","Bachelor's Degree","No","No","No","Pragmatist","No","No","Odd hours"
208,"$100,001 - $150,000","Female","Married (w/kids)","Bachelor's Degree","Yes","No","Yes","Pragmatist","No","No","Standard hours"
209,"$75,000 - $100,000","Male","Married (no kids)","Bachelor's Degree","Yes","No","No","Idealist","No","Yes","Standard hours"
213,"over $150,000","Female","Single (no kids)","Current Undergraduate","No","","No","","No","No","Odd hours"
225,"$25,001 - $50,000","Female","Single (w/kids)","Bachelor's Degree","No","No","No","Pragmatist","No","Yes","Standard hours"
229,"$50,000 - $74,999","Female","Married (w/kids)","Associate's Degree","No","No","No","Idealist","Yes","Yes","Standard hours"
231,"$100,001 - $150,000","Female","Single (no kids)","Current Undergraduate","Yes","No","No","Idealist","No","No","Odd hours"
236,"over $150,000","Male","Single (no kids)","Current K-12","Yes","No","No","Pragmatist","No","No","Standard hours"
238,"$25,001 - $50,000","Male","Married (no kids)","Bachelor's Degree","No","Yes","","","Yes","",""
239,"$50,000 - $74,999","Male","Married (w/kids)","High School Diploma","No","Yes","Yes","Pragmatist","Yes","Yes","Standard hours"
240,"$100,001 - $150,000","Male","Single (no kids)","Master's Degree","Yes","No","No","Pragmatist","No","No","Standard hours"
244,"$50,000 - $74,999","Female","Married (w/kids)","Bachelor's Degree","Yes","Yes","No","Pragmatist","No","Yes","Standard hours"
259,"$50,000 - $74,999","Female","Married (w/kids)","Bachelor's Degree","Yes","Yes","","","No","",""
260,"$100,001 - $150,000","Male","Married (w/kids)","Master's Degree","No","No","No","Idealist","No","Yes","Standard hours"
264,"$100,001 - $150,000","Male","Single (no kids)","Current Undergraduate","No","No","No","Idealist","No","No","Odd hours"
267,"$75,000 - $100,000","Male","","","","","Yes","Pragmatist","","",""
268,"$75,000 - $100,000","Female","Single (w/kids)","Doctoral Degree","No","No","","Pragmatist","No","",""
271,"$50,000 - $74,999","Female","Single (no kids)","Bachelor's Degree","","","No","Pragmatist","No","",""
272,"over $150,000","Female","Single (no kids)","Current Undergraduate","Yes","No","No","Idealist","No","No","Odd hours"
274,"$25,001 - $50,000","Male","Single (no kids)","Current Undergraduate","No","No","No","Idealist","No","Yes","Odd hours"
285,"$50,000 - $74,999","Male","","Current Undergraduate","No","No","No","Idealist","No","No","Odd hours"
286,"over $150,000","Male","Married (w/kids)","Doctoral Degree","","Yes","No","Idealist","No","Yes","Odd hours"
296,"$75,000 - $100,000","Male","Married (no kids)","Bachelor's Degree","No","No","No","Idealist","Yes","No","Standard hours"
308,"","Male","","Current K-12","","No","No","","","",""
310,"","Male","","","No","No","No","Idealist","No","Yes","Standard hours"
318,"$75,000 - $100,000","Male","Single (no kids)","Current K-12","No","Yes","No","Idealist","Yes","No","Standard hours"
333,"$75,000 - $100,000","Male","Single (no kids)","Master's Degree","No","Yes","Yes","Pragmatist","Yes","Yes","Odd hours"
340,"$100,001 - $150,000","Male","Single (no kids)","Bachelor's Degree","Yes","No","No","Idealist","No","No","Standard hours"
342,"","Female","Single (no kids)","","Yes","No","No","Idealist","Yes","Yes","Odd hours"
343,"under $25,000","Male","Single (no kids)","Current K-12","No","No","No","Idealist","No","Yes","Standard hours"
344,"over $150,000","Male","Married (w/kids)","Bachelor's Degree","Yes","Yes","Yes","Pragmatist","No","Yes","Standard hours"
345,"over $150,000","Male","Single (no kids)","High School Diploma","No","No","Yes","Pragmatist","No","No","Odd hours"
346,"under $25,000","Female","Single (no kids)","Current Undergraduate","No","No","No","Pragmatist","No","No","Odd hours"
352,"$100,001 - $150,000","Male","Married (w/kids)","Master's Degree","Yes","","No","","No","Yes","Standard hours"
354,"$50,000 - $74,999","Male","Married (w/kids)","Associate's Degree","","","Yes","","","Yes","Standard hours"
357,"$100,001 - $150,000","Male","Married (w/kids)","Bachelor's Degree","","","No","Pragmatist","","Yes","Standard hours"
366,"$100,001 - $150,000","Male","Married (w/kids)","","Yes","Yes","No","Pragmatist","Yes","Yes",""
369,"$50,000 - $74,999","Male","Married (w/kids)","Master's Degree","No","Yes","Yes","","Yes","Yes","Standard hours"
380,"$100,001 - $150,000","Male","Married (no kids)","","No","No","Yes","Idealist","No","No","Standard hours"
389,"under $25,000","Male","Single (no kids)","Current K-12","No","No","No","Idealist","Yes","No","Standard hours"
391,"$75,000 - $100,000","Female","Married (w/kids)","High School Diploma","Yes","No","Yes","Pragmatist","No","No","Odd hours"
394,"$100,001 - $150,000","Female","Single (no kids)","Current Undergraduate","","","","","","",""
396,"$25,001 - $50,000","Male","Married (w/kids)","","No","Yes","Yes","Pragmatist","Yes","Yes","Standard hours"
404,"over $150,000","Female","Married (no kids)","Bachelor's Degree","No","No","No","Pragmatist","No","Yes","Standard hours"
407,"$75,000 - $100,000","Male","Married (w/kids)","Associate's Degree","No","No","Yes","Idealist","","Yes","Standard hours"
422,"$50,000 - $74,999","Female","Single (no kids)","Associate's Degree","No","No","No","","","","Standard hours"
426,"over $150,000","Male","Married (w/kids)","Bachelor's Degree","No","Yes","Yes","Pragmatist","No","",""
428,"$25,001 - $50,000","Male","Single (w/kids)","Bachelor's Degree","No","No","No","Pragmatist","No","Yes","Odd hours"
429,"$75,000 - $100,000","Male","Married (no kids)","Master's Degree","No","Yes","No","Pragmatist","Yes","No","Standard hours"
438,"over $150,000","Female","Married (w/kids)","Bachelor's Degree","No","Yes","No","Pragmatist","Yes","Yes","Standard hours"
452,"$100,001 - $150,000","Female","Married (w/kids)","Master's Degree","Yes","","","","Yes","",""
462,"$75,000 - $100,000","Male","Married (w/kids)","High School Diploma","","No","No","Idealist","No","Yes","Odd hours"
469,"$25,001 - $50,000","Male","Married (no kids)","High School Diploma","No","No","No","Pragmatist","Yes","Yes","Odd hours"
480,"$75,000 - $100,000","Male","Married (w/kids)","Master's Degree","","Yes","No","","Yes","Yes",""
488,"$100,001 - $150,000","Male","Single (no kids)","Bachelor's Degree","No","Yes","Yes","Idealist","Yes","Yes","Odd hours"
489,"$25,001 - $50,000","Female","Single (no kids)","Master's Degree","Yes","Yes","No","Pragmatist","No","Yes","Standard hours"
492,"$75,000 - $100,000","Female","Married (w/kids)","","","","","","","",""
498,"over $150,000","Female","Married (w/kids)","Bachelor's Degree","Yes","No","Yes","Pragmatist","Yes","Yes","Standard hours"
505,"$50,000 - $74,999","Female","Single (no kids)","Bachelor's Degree","Yes","No","No","Idealist","No","Yes","Standard hours"
508,"","","","Bachelor's Degree","Yes","No","No","Pragmatist","No","No","Odd hours"
510,"$100,001 - $150,000","Male","Domestic Partners (no kids)","Master's Degree","Yes","Yes","No","Pragmatist","Yes","Yes","Standard hours"
511,"","Male","Married (w/kids)","","Yes","No","Yes","Pragmatist","No","Yes","Odd hours"
512,"$50,000 - $74,999","Male","Single (no kids)","Bachelor's Degree","No","No","Yes","Idealist","Yes","No","Odd hours"
518,"","Male","","Current K-12","No","No","No","Idealist","No","Yes","Standard hours"
519,"$75,000 - $100,000","Male","Domestic Partners (w/kids)","High School Diploma","No","No","No","Idealist","No","No","Odd hours"
522,"over $150,000","Male","Married (w/kids)","Current K-12","No","Yes","Yes","Idealist","No","No","Standard hours"
523,"$25,001 - $50,000","Female","Domestic Partners (no kids)","High School Diploma","No","No","No","Pragmatist","","Yes","Odd hours"
528,"$100,001 - $150,000","Male","Single (no kids)","Current K-12","No","No","No","","Yes","Yes","Odd hours"
530,"under $25,000","Female","Single (no kids)","Current Undergraduate","","","","Idealist","","No","Standard hours"
543,"$100,001 - $150,000","Male","Single (w/kids)","Associate's Degree","No","No","No","Idealist","No","Yes","Odd hours"
549,"","Male","Single (no kids)","Current Undergraduate","No","No","No","Pragmatist","No","Yes","Standard hours"
553,"$100,001 - $150,000","Female","Married (w/kids)","","No","","","","Yes","Yes",""
556,"$50,000 - $74,999","Female","Single (no kids)","Current K-12","Yes","Yes","No","Idealist","No","No","Standard hours"
558,"$75,000 - $100,000","Female","Single (no kids)","Master's Degree","Yes","Yes","No","Pragmatist","Yes","Yes","Standard hours"
562,"","Female","Single (no kids)","Current Undergraduate","No","No","","","No","",""
563,"$75,000 - $100,000","Female","Single (no kids)","Associate's Degree","No","No","No","Pragmatist","No","Yes","Odd hours"
565,"$25,001 - $50,000","Male","Married (w/kids)","Associate's Degree","No","No","Yes","Idealist","Yes","Yes","Standard hours"
567,"$75,000 - $100,000","Female","Married (no kids)","Bachelor's Degree","No","No","No","","","Yes","Standard hours"
571,"$100,001 - $150,000","Male","Single (no kids)","Current K-12","No","Yes","No","Idealist","Yes","Yes","Odd hours"
572,"$75,000 - $100,000","Male","Single (no kids)","Doctoral Degree","Yes","No","No","Idealist","Yes","No","Standard hours"
581,"over $150,000","Male","Married (w/kids)","Bachelor's Degree","No","Yes","Yes","","","",""
584,"","Male","Single (no kids)","","No","No","No","Idealist","No","Yes","Standard hours"
600,"$25,001 - $50,000","Male","Married (w/kids)","Master's Degree","No","No","Yes","Idealist","No","No","Standard hours"
611,"$100,001 - $150,000","Female","Married (no kids)","High School Diploma","Yes","","","Idealist","No","Yes","Standard hours"
617,"$25,001 - $50,000","Female","Single (no kids)","","Yes","Yes","No","Pragmatist","No","Yes","Standard hours"
635,"$25,001 - $50,000","Female","Single (no kids)","Bachelor's Degree","Yes","No","","","","",""
642,"$50,000 - $74,999","Male","Single (no kids)","Associate's Degree","No","No","","Pragmatist","","",""
646,"$100,001 - $150,000","Male","Married (no kids)","Master's Degree","Yes","No","No","Idealist","No","Yes","Standard hours"
648,"over $150,000","Male","Single (no kids)","Doctoral Degree","Yes","Yes","Yes","Pragmatist","Yes","No","Standard hours"
651,"$50,000 - $74,999","Female","Single (no kids)","Master's Degree","No","Yes","No","Pragmatist","No","Yes","Standard hours"
659,"under $25,000","Male","Single (no kids)","Master's Degree","No","No","No","Pragmatist","No","Yes","Odd hours"
661,"$50,000 - $74,999","Male","Single (no kids)","Bachelor's Degree","No","No","Yes","","Yes","",""
683,"$75,000 - $100,000","Male","Married (no kids)","Bachelor's Degree","No","No","Yes","Idealist","No","Yes","Standard hours"
685,"$50,000 - $74,999","Male","Married (no kids)","Bachelor's Degree","No","No","Yes","Idealist","Yes","No","Standard hours"
694,"$75,000 - $100,000","Male","Single (no kids)","Current Undergraduate","No","No","No","","No","Yes","Odd hours"
699,"$100,001 - $150,000","Male","Single (no kids)","Current K-12","No","","Yes","","Yes","Yes","Standard hours"
701,"$50,000 - $74,999","Female","Single (no kids)","Bachelor's Degree","","","","","","",""
702,"$75,000 - $100,000","Male","Married (w/kids)","High School Diploma","No","No","Yes","","Yes","No","Odd hours"
704,"$50,000 - $74,999","Female","Single (no kids)","High School Diploma","","","","","","",""
713,"$50,000 - $74,999","Male","Married (w/kids)","High School Diploma","No","No","Yes","Pragmatist","Yes","No","Standard hours"
720,"$50,000 - $74,999","Female","Married (w/kids)","Bachelor's Degree","","","","Idealist","Yes","","Standard hours"
725,"$25,001 - $50,000","Female","Single (no kids)","Bachelor's Degree","Yes","Yes","No","Pragmatist","No","Yes","Standard hours"
726,"over $150,000","Male","Single (no kids)","","No","Yes","No","Pragmatist","No","No","Standard hours"
727,"$25,001 - $50,000","Male","Single (no kids)","High School Diploma","No","Yes","Yes","Pragmatist","No","No","Odd hours"
732,"over $150,000","Male","Married (w/kids)","Bachelor's Degree","No","Yes","Yes","Pragmatist","Yes","Yes","Standard hours"
733,"under $25,000","Male","Single (no kids)","Bachelor's Degree","No","No","Yes","","","No","Odd hours"
734,"","Female","","Current K-12","","Yes","","","Yes","",""
741,"over $150,000","Male","Married (w/kids)","","Yes","","Yes","","","Yes",""
747,"$75,000 - $100,000","Male","Single (no kids)","High School Diploma","","Yes","Yes","Pragmatist","Yes","Yes","Odd hours"
750,"$50,000 - $74,999","Male","Married (no kids)","Bachelor's Degree","No","Yes","No","Pragmatist","No","No","Standard hours"
752,"$25,001 - $50,000","Female","Married (w/kids)","High School Diploma","No","Yes","No","Idealist","Yes","Yes","Odd hours"
753,"over $150,000","Female","Single (no kids)","Current Undergraduate","","No","No","","","Yes","Standard hours"
760,"$100,001 - $150,000","Male","Married (w/kids)","Master's Degree","No","Yes","No","Pragmatist","Yes","Yes","Odd hours"
774,"","Male","Married (w/kids)","High School Diploma","No","No","Yes","Idealist","Yes","Yes","Odd hours"
782,"$75,000 - $100,000","Male","Married (w/kids)","Bachelor's Degree","No","Yes","Yes","Pragmatist","No","Yes","Odd hours"
803,"$50,000 - $74,999","Female","Married (no kids)","Associate's Degree","No","No","No","Pragmatist","No","Yes","Odd hours"
807,"$50,000 - $74,999","Female","Single (no kids)","Bachelor's Degree","","No","No","Idealist","No","No","Standard hours"
813,"$50,000 - $74,999","Male","Married (w/kids)","High School Diploma","Yes","No","Yes","Pragmatist","No","Yes","Standard hours"
838,"$50,000 - $74,999","Male","Single (no kids)","Current Undergraduate","Yes","No","No","Pragmatist","No","Yes","Standard hours"
839,"$75,000 - $100,000","Female","Single (no kids)","Current Undergraduate","","No","","Idealist","No","Yes","Standard hours"
844,"under $25,000","Male","Single (no kids)","Current Undergraduate","","Yes","No","Pragmatist","","No","Standard hours"
846,"$75,000 - $100,000","Female","Domestic Partners (w/kids)","Bachelor's Degree","Yes","No","No","Pragmatist","No","Yes","Odd hours"
847,"$50,000 - $74,999","Female","Single (no kids)","Current K-12","Yes","Yes","No","","Yes","Yes","Standard hours"
863,"$75,000 - $100,000","Male","Single (no kids)","Current Undergraduate","No","No","No","Idealist","Yes","No","Odd hours"
864,"","Female","Married (w/kids)","","No","Yes","Yes","Idealist","Yes","No",""
866,"$25,001 - $50,000","Female","Single (no kids)","Bachelor's Degree","No","Yes","No","Idealist","Yes","Yes","Standard hours"
870,"over $150,000","Male","Married (w/kids)","High School Diploma","No","","Yes","Pragmatist","No","No","Odd hours"
873,"over $150,000","Female","Married (w/kids)","","Yes","No","No","Idealist","","Yes","Standard hours"
878,"$50,000 - $74,999","Female","Single (no kids)","Bachelor's Degree","No","No","","Idealist","No","",""
883,"$25,001 - $50,000","Male","Married (no kids)","Bachelor's Degree","No","No","No","Pragmatist","No","Yes","Standard hours"
885,"$75,000 - $100,000","Male","Married (no kids)","","No","No","Yes","Pragmatist","Yes","No","Odd hours"
886,"$75,000 - $100,000","Female","Married (w/kids)","Bachelor's Degree","","","","Idealist","","Yes","Odd hours"
897,"over $150,000","Male","Single (no kids)","","","","","","No","",""
902,"under $25,000","Female","Single (no kids)","Master's Degree","No","No","Yes","Pragmatist","No","Yes","Standard hours"
907,"$75,000 - $100,000","Male","Married (no kids)","Bachelor's Degree","Yes","","No","Pragmatist","No","Yes","Odd hours"
912,"under $25,000","Male","Single (no kids)","Current Undergraduate","No","","No","Idealist","No","No","Odd hours"
914,"under $25,000","Male","Single (no kids)","Current K-12","No","No","No","Pragmatist","No","Yes","Standard hours"
918,"","","Married (w/kids)","","No","No","Yes","Pragmatist","Yes","No","Odd hours"
924,"over $150,000","Male","Married (no kids)","Master's Degree","No","Yes","Yes","Idealist","No","No","Standard hours"
932,"$100,001 - $150,000","Male","Married (w/kids)","Bachelor's Degree","No","Yes","Yes","Pragmatist","Yes","No","Odd hours"
947,"$100,001 - $150,000","Female","Single (no kids)","Doctoral Degree","","","No","Idealist","No","No","Odd hours"
948,"$100,001 - $150,000","Female","","High School Diploma","","No","No","","Yes","Yes",""
951,"$50,000 - $74,999","Male","Married (w/kids)","Bachelor's Degree","No","No","No","Idealist","Yes","No","Odd hours"
958,"$75,000 - $100,000","Male","Single (no kids)","Current Undergraduate","No","No","No","Idealist","No","Yes","Odd hours"
963,"$75,000 - $100,000","Male","Married (no kids)","High School Diploma","Yes","No","No","Idealist","No","Yes","Standard hours"
965,"$50,000 - $74,999","Male","Married (w/kids)","Master's Degree","","No","Yes","","No","",""
969,"$75,000 - $100,000","Male","Married (no kids)","Doctoral Degree","Yes","No","","","No","",""
973,"$50,000 - $74,999","Male","Single (w/kids)","Bachelor's Degree","Yes","No","No","Pragmatist","Yes","No","Odd hours"
975,"$25,001 - $50,000","Female","Married (no kids)","Master's Degree","Yes","Yes","No","Pragmatist","Yes","No","Standard hours"
983,"under $25,000","Male","Single (no kids)","Current Undergraduate","","","No","","","",""
1002,"$50,000 - $74,999","Female","Married (w/kids)","High School Diploma","","","","","No","",""
1015,"$75,000 - $100,000","Male","Single (no kids)","Current Undergraduate","No","No","Yes","Idealist","No","Yes","Odd hours"
1019,"$25,001 - $50,000","Female","Single (no kids)","Doctoral Degree","Yes","No","","Idealist","No","No","Odd hours"
1020,"$75,000 - $100,000","Female","Single (no kids)","Master's Degree","No","Yes","Yes","Pragmatist","Yes","Yes","Standard hours"
1029,"$75,000 - $100,000","Male","Single (no kids)","High School Diploma","No","No","No","Pragmatist","No","Yes","Odd hours"
1030,"over $150,000","Male","Married (w/kids)","Doctoral Degree","No","No","Yes","Pragmatist","No","Yes","Standard hours"
1032,"$100,001 - $150,000","Male","Married (w/kids)","Bachelor's Degree","No","No","Yes","Pragmatist","No","Yes","Standard hours"
1037,"over $150,000","Male","Married (w/kids)","Doctoral Degree","Yes","No","No","Pragmatist","No","No","Odd hours"
1048,"$25,001 - $50,000","Female","Single (w/kids)","Current Undergraduate","Yes","No","Yes","Idealist","No","Yes","Odd hours"
1050,"$50,000 - $74,999","Male","Married (no kids)","High School Diploma","No","No","Yes","Pragmatist","No","No","Standard hours"
1053,"","Male","Single (no kids)","Bachelor's Degree","No","","","","No","",""
1056,"","Male","Married (w/kids)","Doctoral Degree","No","No","No","Idealist","Yes","",""
1057,"under $25,000","Female","Single (no kids)","Current K-12","","","Yes","","","",""
1062,"$100,001 - $150,000","Male","Married (w/kids)","Master's Degree","Yes","No","Yes","Pragmatist","No","Yes","Standard hours"
1067,"$25,001 - $50,000","Male","Single (no kids)","High School Diploma","No","No","Yes","","No","No","Standard hours"
1071,"$50,000 - $74,999","Female","Married (w/kids)","Current Undergraduate","","No","Yes","","","","Odd hours"
1073,"over $150,000","Male","Married (w/kids)","Master's Degree","No","Yes","Yes","Idealist","No","Yes","Odd hours"
1076,"$75,000 - $100,000","Male","Married (no kids)","","No","No","Yes","Pragmatist","Yes","Yes","Odd hours"
1079,"","Male","Married (no kids)","Bachelor's Degree","No","No","No","Pragmatist","Yes","No","Standard hours"
1081,"$100,001 - $150,000","Male","Married (no kids)","Bachelor's Degree","No","No","No","Pragmatist","No","Yes","Standard hours"
1083,"","Female","Married (w/kids)","Doctoral Degree","No","Yes","No","Pragmatist","Yes","Yes","Standard hours"
1084,"$100,001 - $150,000","Male","Married (w/kids)","Bachelor's Degree","No","","","","Yes","",""
1085,"over $150,000","Male","Single (no kids)","Current K-12","No","No","No","Idealist","No","Yes","Standard hours"
1087,"over $150,000","Male","Married (w/kids)","Master's Degree","Yes","No","Yes","Idealist","No","Yes","Standard hours"
1092,"$100,001 - $150,000","Male","Single (no kids)","Current K-12","Yes","No","Yes","Idealist","No","No","Standard hours"
1114,"over $150,000","Male","Single (w/kids)","","No","Yes","No","Pragmatist","Yes","No","Odd hours"
1117,"$75,000 - $100,000","Female","Single (no kids)","Current K-12","No","No","No","Pragmatist","Yes","No","Standard hours"
1124,"$50,000 - $74,999","Male","Single (no kids)","Bachelor's Degree","No","Yes","No","Idealist","Yes","No","Odd hours"
1129,"under $25,000","Female","Single (no kids)","Bachelor's Degree","No","No","No","Idealist","No","Yes","Standard hours"
1133,"under $25,000","Female","Single (no kids)","Bachelor's Degree","No","No","Yes","Pragmatist","No","Yes","Standard hours"
1148,"","Male","Married (no kids)","","","","","","","",""
1151,"over $150,000","Male","","High School Diploma","","","","","","",""
1154,"over $150,000","Male","Married (w/kids)","","","","","","","",""
1157,"$100,001 - $150,000","Male","Single (no kids)","Current Undergraduate","No","No","Yes","Pragmatist","No","Yes","Odd hours"
1158,"under $25,000","Male","Single (no kids)","Current Undergraduate","No","No","Yes","Pragmatist","No","Yes","Standard hours"
1162,"$100,001 - $150,000","Male","Married (no kids)","","No","Yes","No","Idealist","Yes","No","Odd hours"
1166,"$25,001 - $50,000","Male","Married (no kids)","High School Diploma","No","Yes","Yes","Idealist","Yes","Yes","Odd hours"
1167,"","Female","Married (w/kids)","Master's Degree","","Yes","Yes","Pragmatist","","Yes","Standard hours"
1171,"$75,000 - $100,000","Female","Single (no kids)","High School Diploma","Yes","","Yes","","No","Yes","Odd hours"
1177,"$25,001 - $50,000","Male","Married (w/kids)","High School Diploma","No","No","Yes","Pragmatist","No","Yes","Standard hours"
1179,"$100,001 - $150,000","Male","Single (no kids)","Current K-12","No","No","","","Yes","",""
1191,"$50,000 - $74,999","Male","Single (no kids)","Current K-12","","","No","","","Yes",""
1199,"$25,001 - $50,000","Male","Single (no kids)","","No","No","Yes","Idealist","No","No","Odd hours"
1200,"$75,000 - $100,000","Male","Single (no kids)","Bachelor's Degree","No","No","No","Idealist","No","No","Standard hours"
1206,"$25,001 - $50,000","Male","Single (w/kids)","Associate's Degree","","","","","No","",""
1208,"","Male","Single (no kids)","Bachelor's Degree","","","No","","No","No","Odd hours"
1209,"$75,000 - $100,000","Male","Married (w/kids)","Bachelor's Degree","No","No","No","Idealist","No","No","Standard hours"
1215,"$25,001 - $50,000","Male","Single (no kids)","Bachelor's Degree","No","No","Yes","Pragmatist","No","No","Standard hours"
1218,"over $150,000","Female","Married (w/kids)","Master's Degree","Yes","No","No","Idealist","No","Yes","Standard hours"
1219,"$75,000 - $100,000","Female","Married (w/kids)","Current Undergraduate","No","No","Yes","Idealist","No","Yes","Odd hours"
1221,"$50,000 - $74,999","Male","Married (w/kids)","Associate's Degree","No","No","Yes","Pragmatist","Yes","Yes","Odd hours"
1222,"$75,000 - $100,000","Male","Domestic Partners (w/kids)","Bachelor's Degree","No","","No","","Yes","Yes",""
1234,"$50,000 - $74,999","Male","Single (no kids)","","No","No","No","Pragmatist","No","Yes","Standard hours"
1246,"$75,000 - $100,000","Female","Married (w/kids)","","","","","","No","",""
1256,"$100,001 - $150,000","Female","Married (w/kids)","Master's Degree","No","Yes","Yes","","Yes","Yes",""
1259,"$25,001 - $50,000","Female","Married (w/kids)","Associate's Degree","No","Yes","Yes","Idealist","Yes","Yes","Standard hours"
1262,"$25,001 - $50,000","Male","Married (w/kids)","Bachelor's Degree","No","No","No","Idealist","Yes","No","Standard hours"
1266,"over $150,000","Female","Married (w/kids)","Bachelor's Degree","Yes","","","","No","",""
1284,"$50,000 - $74,999","Male","Single (no kids)","Bachelor's Degree","No","No","Yes","Pragmatist","No","Yes","Odd hours"
1288,"","Male","Married (no kids)","Bachelor's Degree","","Yes","","Idealist","No","No",""
1298,"$100,001 - $150,000","Female","Married (w/kids)","High School Diploma","No","No","No","Pragmatist","No","Yes","Odd hours"
1301,"over $150,000","Male","Married (no kids)","Master's Degree","","","","","Yes","",""
1312,"$25,001 - $50,000","Male","Single (no kids)","High School Diploma","Yes","","","Pragmatist","No","Yes","Odd hours"
1315,"over $150,000","Male","Single (no kids)","Current Undergraduate","","","","","","",""
1316,"$25,001 - $50,000","Male","Single (no kids)","Bachelor's Degree","No","No","No","Idealist","No","No","Standard hours"
1322,"$25,001 - $50,000","Male","Single (no kids)","Current Undergraduate","Yes","No","No","Idealist","Yes","Yes","Standard hours"
1328,"over $150,000","Male","Single (no kids)","Bachelor's Degree","No","","Yes","Idealist","Yes","Yes",""
