"USER_ID","Party","Income","Gender","HouseholdStatus","EducationLevel","Q109244","Q114152","Q115611","Q118232","Q98197","Q116953","Q117193"
61,"Democrat","$75,000 - $100,000","Female","Single (no kids)","Bachelor's Degree","No","No","No","Pragmatist","No","No","Standard hours"
63,"Republican","$25,001 - $50,000","Female","Single (no kids)","Bachelor's Degree","","No","No","Pragmatist","No","No","Odd hours"
64,"Democrat","under $25,000","Male","Single (no kids)","","No","Yes","Yes","Idealist","Yes","Yes","Standard hours"
65,"Democrat","$100,001 - $150,000","Male","Married (no kids)","Associate's Degree","Yes","No","Yes","Pragmatist","No","Yes","Odd hours"
66,"Democrat","$50,000 - $74,999","Female","Married (w/kids)","Bachelor's Degree","No","Yes","Yes","Pragmatist","Yes","Yes","Standard hours"
67,"Republican","$100,001 - $150,000","Male","Married (w/kids)","High School Diploma","No","No","Yes","Pragmatist","Yes","No","Standard hours"
69,"Republican","over $150,000","Male","Married (w/kids)","Doctoral Degree","","Yes","Yes","Pragmatist","No","Yes","Standard hours"
70,"Republican","$75,000 - $100,000","Male","Married (w/kids)","Current K-12","No","No","Yes","Idealist","Yes","Yes","Odd hours"
71,"Republican","$75,000 - $100,000","Male","Domestic Partners (w/kids)","Bachelor's Degree","No","","","","Yes","",""
73,"Democrat","","Female","Single (no kids)","Bachelor's Degree","","","","","","",""
75,"Democrat","$75,000 - $100,000","Female","Single (no kids)","Master's Degree","No","No","No","Pragmatist","No","No","Standard hours"
76,"Republican","$100,001 - $150,000","Male","Married (no kids)","Bachelor's Degree","No","No","Yes","Idealist","Yes","Yes","Standard hours"
77,"Democrat","$75,000 - $100,000","Male","Domestic Partners (no kids)","High School Diploma","No","No","No","Idealist","No","Yes","Odd hours"
78,"Democrat","over $150,000","Male","Married (w/kids)","Master's Degree","No","Yes","Yes","Pragmatist","Yes","Yes",""
79,"Republican","$75,000 - $100,000","Male","","High School Diploma","No","Yes","No","Idealist","Yes","No","Standard hours"
82,"Democrat","$75,000 - $100,000","Male","Married (w/kids)","Associate's Degree","No","No","Yes","Pragmatist","No","Yes","Standard hours"
83,"Democrat","","Male","Single (no kids)","Current Undergraduate","","","","","","",""
84,"Republican","$50,000 - $74,999","Male","Married (w/kids)","","No","No","Yes","Pragmatist","Yes","Yes","Odd hours"
85,"Democrat","under $25,000","Female","Single (w/kids)","Master's Degree","Yes","","No","","","Yes","Standard hours"
86,"Republican","$75,000 - $100,000","Male","Married (w/kids)","High School Diploma","No","No","Yes","Idealist","No","Yes","Odd hours"
88,"Democrat","$75,000 - $100,000","Male","Married (no kids)","Associate's Degree","No","Yes","No","Pragmatist","No","Yes","Standard hours"
89,"Democrat","under $25,000","Male","Single (no kids)","Current Undergraduate","Yes","","No","","Yes","","Odd hours"
90,"Republican","over $150,000","Male","Single (no kids)","Current Undergraduate","No","No","Yes","Idealist","Yes","No","Standard hours"
91,"Republican","$50,000 - $74,999","Male","Married (no kids)","High School Diploma","No","No","Yes","Pragmatist","No","No","Standard hours"
93,"Democrat","$100,001 - $150,000","Male","Single (no kids)","Current K-12","","No","","","","",""
94,"Republican","","Female","Single (no kids)","Current K-12","Yes","","No","","","",""
95,"Republican","over $150,000","Male","Single (no kids)","Current Undergraduate","No","No","No","Idealist","No","Yes","Odd hours"
97,"Democrat","$50,000 - $74,999","Male","Single (w/kids)","","No","","","","No","",""
98,"Democrat","$75,000 - $100,000","Female","Married (w/kids)","Bachelor's Degree","No","","","","No","Yes",""
99,"Republican","$100,001 - $150,000","Male","Single (no kids)","Current Undergraduate","No","","No","","No","Yes",""
101,"Republican","$100,001 - $150,000","Male","Married (w/kids)","Bachelor's Degree","No","No","Yes","Pragmatist","Yes","Yes","Odd hours"
102,"Republican","over $150,000","Female","Married (w/kids)","Bachelor's Degree","No","No","Yes","Pragmatist","No","No",""
103,"Democrat","$100,001 - $150,000","Male","Married (w/kids)","Current K-12","","No","","","","",""
106,"Democrat","$75,000 - $100,000","Male","Single (no kids)","Current Undergraduate","","","No","","","",""
107,"Republican","$50,000 - $74,999","Male","Single (no kids)","Bachelor's Degree","","No","","","","",""
109,"Republican","","Male","Single (no kids)","Doctoral Degree","No","No","No","Pragmatist","No","No","Odd hours"
110,"Democrat","over $150,000","Female","Single (w/kids)","High School Diploma","No","Yes","Yes","Pragmatist","No","Yes","Standard hours"
111,"Democrat","","Female","Single (no kids)","Doctoral Degree","Yes","No","No","Pragmatist","No","Yes","Standard hours"
112,"Democrat","$75,000 - $100,000","Female","Domestic Partners (w/kids)","Bachelor's Degree","Yes","No","No","Pragmatist","Yes","Yes","Odd hours"
113,"Democrat","$75,000 - $100,000","Female","Single (no kids)","Current Undergraduate","No","No","No","Pragmatist","No","Yes","Odd hours"
114,"Democrat","$75,000 - $100,000","Male","Domestic Partners (no kids)","Master's Degree","Yes","Yes","No","Idealist","No","Yes","Odd hours"
115,"Republican","$75,000 - $100,000","Female","Married (w/kids)","Bachelor's Degree","No","Yes","Yes","Pragmatist","Yes","Yes","Standard hours"
116,"Republican","under $25,000","Male","Single (no kids)","Bachelor's Degree","No","No","Yes","Pragmatist","No","Yes",""
117,"Democrat","under $25,000","Female","Single (w/kids)","","No","","","","","",""
118,"Republican","$25,001 - $50,000","Female","Married (w/kids)","High School Diploma","No","No","No","Pragmatist","Yes","No","Odd hours"
119,"Democrat","$75,000 - $100,000","Male","Married (w/kids)","","No","No","No","Pragmatist","No","Yes","Standard hours"
120,"Democrat","under $25,000","Male","Single (no kids)","","","","Yes","","No","",""
121,"Democrat","","Male","Married (w/kids)","Bachelor's Degree","No","No","Yes","Pragmatist","No","No","Standard hours"
122,"Democrat","$25,001 - $50,000","Female","Single (w/kids)","Current Undergraduate","Yes","Yes","No","Pragmatist","","Yes","Standard hours"
123,"Republican","under $25,000","Male","Single (no kids)","Current K-12","","","","","","",""
126,"Democrat","over $150,000","Male","Married (w/kids)","Master's Degree","","","Yes","Pragmatist","","No",""
131,"Republican","over $150,000","Female","Married (no kids)","Bachelor's Degree","No","No","No","Pragmatist","No","Yes","Standard hours"
132,"Republican","over $150,000","Male","Married (w/kids)","Bachelor's Degree","No","Yes","No","Pragmatist","Yes","No","Standard hours"
133,"Republican","over $150,000","Male","Single (no kids)","Current K-12","No","No","No","Pragmatist","No","Yes","Standard hours"
134,"Democrat","under $25,000","Male","Single (no kids)","High School Diploma","","No","No","","No","Yes","Odd hours"
135,"Democrat","$100,001 - $150,000","Male","Married (w/kids)","Master's Degree","No","No","Yes","Pragmatist","No","Yes","Standard hours"
136,"Democrat","$50,000 - $74,999","Male","Single (no kids)","Current K-12","No","No","Yes","Pragmatist","No","No","Standard hours"
137,"Republican","$25,001 - $50,000","Male","Single (no kids)","Current K-12","No","No","Yes","Pragmatist","Yes","Yes","Standard hours"
138,"Democrat","$50,000 - $74,999","Male","Married (no kids)","Bachelor's Degree","","","","Pragmatist","No","",""
140,"Democrat","","Male","Single (no kids)","Current K-12","No","No","No","Idealist","No","Yes","Standard hours"
141,"Republican","over $150,000","Male","Married (no kids)","Master's Degree","","No","No","","Yes","",""
142,"Democrat","$50,000 - $74,999","Male","Single (no kids)","Master's Degree","No","No","No","Pragmatist","No","","Standard hours"
143,"Republican","$25,001 - $50,000","Female","Married (w/kids)","High School Diploma","","","No","","","","Standard hours"
144,"Republican","$75,000 - $100,000","Male","Single (no kids)","Current Undergraduate","No","No","No","Pragmatist","No","Yes","Odd hours"
145,"Republican","$25,001 - $50,000","Female","Married (no kids)","High School Diploma","No","No","Yes","Idealist","Yes","No","Standard hours"
146,"Republican","over $150,000","Female","Married (w/kids)","","No","No","No","Pragmatist","No","Yes","Standard hours"
147,"Democrat","$100,001 - $150,000","Male","Married (w/kids)","High School Diploma","No","No","Yes","Idealist","No","Yes","Standard hours"
148,"Democrat","under $25,000","Female","Single (no kids)","Bachelor's Degree","Yes","No","No","Pragmatist","Yes","No","Standard hours"
150,"Democrat","under $25,000","Female","Single (no kids)","Current Undergraduate","Yes","No","No","Pragmatist","Yes","No","Standard hours"
152,"Democrat","under $25,000","Male","Single (no kids)","Master's Degree","No","","No","","No","",""
153,"Democrat","$25,001 - $50,000","Female","Single (no kids)","Current Undergraduate","No","No","No","","No","Yes","Standard hours"
155,"Republican","over $150,000","Female","Single (no kids)","High School Diploma","","","","","","",""
156,"Republican","$100,001 - $150,000","Male","Married (w/kids)","Bachelor's Degree","No","Yes","Yes","Pragmatist","Yes","No","Standard hours"
157,"Republican","","Female","Single (no kids)","","","No","No","","Yes","No","Odd hours"
160,"Democrat","over $150,000","Male","Single (no kids)","Master's Degree","","","No","","","",""
161,"Republican","$100,001 - $150,000","Male","Married (w/kids)","Bachelor's Degree","No","No","No","Idealist","Yes","Yes","Standard hours"
162,"Democrat","$50,000 - $74,999","Male","Married (w/kids)","Master's Degree","No","Yes","Yes","Idealist","No","No","Standard hours"
163,"Democrat","","Female","Single (w/kids)","Associate's Degree","Yes","No","Yes","Idealist","Yes","Yes","Odd hours"
164,"Democrat","under $25,000","Male","Single (no kids)","","","","No","Pragmatist","","Yes",""
165,"Republican","over $150,000","Female","Married (w/kids)","Bachelor's Degree","No","No","No","","Yes","No",""
166,"Democrat","over $150,000","Male","","Current K-12","","","","","","",""
167,"Democrat","$100,001 - $150,000","Male","Married (w/kids)","Bachelor's Degree","Yes","","","","No","",""
169,"Republican","under $25,000","Male","Single (no kids)","Master's Degree","No","No","No","Idealist","Yes","No","Standard hours"
170,"Democrat","over $150,000","Female","Single (no kids)","Bachelor's Degree","Yes","Yes","No","Idealist","Yes","Yes","Odd hours"
171,"Democrat","$100,001 - $150,000","Male","Single (w/kids)","Bachelor's Degree","Yes","","Yes","Idealist","No","No","Odd hours"
172,"Democrat","over $150,000","Male","Single (no kids)","Doctoral Degree","No","No","No","Idealist","No","No","Odd hours"
173,"Republican","$75,000 - $100,000","Male","Married (w/kids)","","No","No","Yes","Idealist","Yes","Yes","Standard hours"
174,"Republican","$25,001 - $50,000","Male","Single (no kids)","High School Diploma","No","No","No","Pragmatist","No","Yes","Standard hours"
175,"Democrat","$100,001 - $150,000","Male","Single (no kids)","Current K-12","No","No","No","Pragmatist","Yes","No","Standard hours"
176,"Democrat","under $25,000","Male","Single (no kids)","High School Diploma","No","No","No","","Yes","Yes","Standard hours"
178,"Republican","$50,000 - $74,999","Female","Married (w/kids)","Bachelor's Degree","No","Yes","Yes","Pragmatist","Yes","Yes","Standard hours"
179,"Democrat","under $25,000","Male","Single (no kids)","Current Undergraduate","Yes","No","No","Idealist","No","No","Standard hours"
180,"Democrat","over $150,000","Male","Single (no kids)","Current K-12","Yes","No","No","Idealist","Yes","Yes","Standard hours"
181,"Democrat","","Female","Single (no kids)","Current Undergraduate","Yes","No","No","Pragmatist","Yes","",""
182,"Republican","","Female","Married (w/kids)","Bachelor's Degree","Yes","No","No","Idealist","Yes","Yes","Odd hours"
183,"Republican","$25,001 - $50,000","Female","Single (no kids)","High School Diploma","No","No","No","Pragmatist","No","No","Standard hours"
184,"Democrat","$75,000 - $100,000","Male","Single (no kids)","Current Undergraduate","Yes","No","No","Pragmatist","No","Yes","Standard hours"
186,"Republican","$75,000 - $100,000","Female","Married (no kids)","Bachelor's Degree","No","Yes","No","Idealist","No","Yes","Odd hours"
187,"Republican","","Male","Single (no kids)","","No","No","Yes","Idealist","No","Yes","Odd hours"
188,"Republican","over $150,000","Female","Single (no kids)","Master's Degree","No","No","No","Idealist","No","Yes","Standard hours"
189,"Republican","under $25,000","Male","Single (no kids)","Bachelor's Degree","No","No","No","Idealist","Yes","Yes","Standard hours"
190,"Democrat","over $150,000","Male","Single (no kids)","Current Undergraduate","Yes","Yes","Yes","Pragmatist","No","No","Odd hours"
191,"Democrat","","Male","","Current K-12","No","No","No","Pragmatist","No","Yes","Odd hours"
193,"Democrat","over $150,000","Male","Single (no kids)","Current Undergraduate","No","No","No","Pragmatist","No","No","Odd hours"
194,"Democrat","$50,000 - $74,999","Male","Married (no kids)","Bachelor's Degree","No","No","No","Pragmatist","No","Yes","Standard hours"
196,"Democrat","","Male","Single (no kids)","","","No","No","","","Yes","Standard hours"
197,"Democrat","under $25,000","Male","Single (no kids)","Associate's Degree","Yes","","No","","No","Yes",""
199,"Democrat","$50,000 - $74,999","Male","Married (w/kids)","Master's Degree","No","No","Yes","Pragmatist","Yes","No","Odd hours"
200,"Democrat","$50,000 - $74,999","Male","Single (no kids)","Current Undergraduate","No","No","No","Pragmatist","Yes","Yes","Odd hours"
202,"Republican","$25,001 - $50,000","Female","Married (w/kids)","Associate's Degree","No","Yes","No","","Yes","","Odd hours"
203,"Democrat","$50,000 - $74,999","Male","Single (w/kids)","High School Diploma","No","No","Yes","Idealist","Yes","Yes","Standard hours"
204,"Democrat","$100,001 - $150,000","Male","Domestic Partners (no kids)","Current K-12","Yes","","No","","","",""
205,"Republican","$50,000 - $74,999","Male","Married (w/kids)","High School Diploma","No","No","Yes","Idealist","No","No","Standard hours"
206,"Republican","$25,001 - $50,000","Female","Single (no kids)","Associate's Degree","No","No","No","Idealist","No","","Standard hours"
207,"Republican","under $25,000","Female","Single (no kids)","Current K-12","No","Yes","No","Pragmatist","No","Yes","Standard hours"
210,"Democrat","$50,000 - $74,999","Female","Single (w/kids)","Master's Degree","","No","No","","Yes","Yes","Standard hours"
211,"Democrat","$75,000 - $100,000","Female","Married (w/kids)","Master's Degree","","","No","","Yes","",""
212,"Republican","$50,000 - $74,999","Male","Single (no kids)","Bachelor's Degree","No","No","No","Pragmatist","No","Yes","Standard hours"
214,"Democrat","$100,001 - $150,000","Male","Single (no kids)","Current K-12","","No","No","Idealist","Yes","Yes","Standard hours"
215,"Republican","$100,001 - $150,000","Female","Married (w/kids)","","No","No","Yes","Pragmatist","Yes","",""
216,"Democrat","$25,001 - $50,000","Male","Single (no kids)","Master's Degree","No","No","No","Pragmatist","No","Yes","Standard hours"
217,"Democrat","$50,000 - $74,999","Male","Married (w/kids)","Associate's Degree","No","Yes","Yes","Idealist","Yes","Yes","Standard hours"
218,"Democrat","over $150,000","Male","Married (no kids)","Master's Degree","No","","Yes","","","",""
219,"Republican","$100,001 - $150,000","Male","Married (w/kids)","Bachelor's Degree","","","","","","",""
220,"Democrat","","Male","Single (no kids)","","Yes","","","","No","",""
221,"Democrat","$50,000 - $74,999","Male","Married (w/kids)","High School Diploma","Yes","No","No","Idealist","No","No","Odd hours"
222,"Republican","$100,001 - $150,000","Female","Married (w/kids)","","","No","","Idealist","","","Standard hours"
224,"Democrat","$25,001 - $50,000","Male","Single (no kids)","Associate's Degree","No","Yes","No","Idealist","No","No","Standard hours"
226,"Republican","over $150,000","Male","Married (w/kids)","Bachelor's Degree","No","No","No","Idealist","No","Yes","Standard hours"
227,"Democrat","over $150,000","Female","Single (no kids)","High School Diploma","No","Yes","No","","No","Yes","Odd hours"
228,"Republican","$25,001 - $50,000","Male","Married (no kids)","Bachelor's Degree","No","No","No","Pragmatist","Yes","Yes","Standard hours"
230,"Republican","$100,001 - $150,000","Male","Single (no kids)","Master's Degree","No","No","No","Pragmatist","Yes","Yes","Odd hours"
232,"Democrat","$100,001 - $150,000","Male","Married (w/kids)","Bachelor's Degree","","","","","","",""
233,"Republican","$50,000 - $74,999","Female","Married (w/kids)","Master's Degree","","No","No","Idealist","Yes","Yes","Odd hours"
234,"Democrat","","Male","","Current K-12","","","","","","",""
235,"Republican","","Female","Married (w/kids)","Master's Degree","No","Yes","No","Pragmatist","Yes","No","Odd hours"
237,"Republican","","Female","Single (no kids)","Current K-12","Yes","","No","","Yes","",""
241,"Republican","$75,000 - $100,000","Male","Married (w/kids)","Master's Degree","No","No","Yes","Pragmatist","No","No","Odd hours"
242,"Republican","$25,001 - $50,000","Male","Single (no kids)","High School Diploma","Yes","No","No","Pragmatist","No","No","Odd hours"
243,"Republican","$75,000 - $100,000","Female","Single (no kids)","","No","Yes","Yes","Pragmatist","No","No","Standard hours"
245,"Republican","over $150,000","Male","Married (w/kids)","Bachelor's Degree","No","Yes","Yes","Idealist","Yes","Yes","Standard hours"
246,"Democrat","$100,001 - $150,000","Female","Married (no kids)","Master's Degree","No","","","","No","",""
247,"Republican","$100,001 - $150,000","Male","Married (w/kids)","Master's Degree","No","Yes","Yes","Idealist","Yes","Yes","Standard hours"
248,"Democrat","$100,001 - $150,000","Male","Married (w/kids)","Bachelor's Degree","No","","No","Idealist","Yes","No","Standard hours"
249,"Republican","$100,001 - $150,000","Female","Married (w/kids)","Master's Degree","No","No","No","Idealist","Yes","Yes","Odd hours"
250,"Democrat","under $25,000","Female","Single (w/kids)","Associate's Degree","No","No","Yes","Pragmatist","No","Yes","Odd hours"
251,"Democrat","$25,001 - $50,000","Male","Married (w/kids)","Bachelor's Degree","No","","No","Pragmatist","Yes","Yes","Odd hours"
252,"Democrat","$75,000 - $100,000","Female","Single (no kids)","Bachelor's Degree","Yes","No","No","Pragmatist","No","Yes","Odd hours"
253,"Democrat","$75,000 - $100,000","Male","Married (w/kids)","Associate's Degree","No","No","No","Pragmatist","No","Yes",""
254,"Republican","$50,000 - $74,999","Male","Married (w/kids)","Master's Degree","No","No","No","Pragmatist","No","No","Odd hours"
255,"Democrat","$50,000 - $74,999","Male","Domestic Partners (no kids)","Associate's Degree","No","No","Yes","Idealist","No","Yes","Standard hours"
256,"Democrat","$50,000 - $74,999","Female","Single (w/kids)","","No","No","No","Idealist","No","No","Odd hours"
257,"Democrat","over $150,000","Male","Married (w/kids)","","No","No","Yes","Pragmatist","No","Yes","Standard hours"
258,"Democrat","","Male","","","","","","","","",""
261,"Republican","$75,000 - $100,000","Female","Married (w/kids)","High School Diploma","Yes","No","No","Pragmatist","No","Yes","Odd hours"
262,"Republican","$50,000 - $74,999","Male","Married (no kids)","High School Diploma","No","No","No","Idealist","No","No","Standard hours"
263,"Republican","$50,000 - $74,999","Male","Married (w/kids)","Bachelor's Degree","No","Yes","No","Pragmatist","Yes","No","Standard hours"
265,"Democrat","$25,001 - $50,000","Male","Married (no kids)","High School Diploma","No","Yes","No","Idealist","Yes","No","Standard hours"
266,"Republican","over $150,000","Male","Single (no kids)","","No","","","","Yes","",""
269,"Democrat","$50,000 - $74,999","Male","Single (no kids)","Bachelor's Degree","Yes","Yes","No","Pragmatist","No","Yes","Standard hours"
270,"Republican","$100,001 - $150,000","Male","Married (w/kids)","Bachelor's Degree","No","No","No","Pragmatist","No","Yes","Standard hours"
273,"Republican","$75,000 - $100,000","Male","Married (w/kids)","Master's Degree","No","No","Yes","Pragmatist","No","Yes","Standard hours"
275,"Democrat","under $25,000","Male","Single (no kids)","Bachelor's Degree","","","","Pragmatist","No","No","Odd hours"
276,"Republican","under $25,000","Male","Single (no kids)","Current Undergraduate","No","No","Yes","Pragmatist","No","Yes","Odd hours"
277,"Republican","$50,000 - $74,999","Male","Single (no kids)","Current Undergraduate","No","No","No","Idealist","No","Yes","Standard hours"
278,"Republican","$50,000 - $74,999","Female","Married (w/kids)","","No","No","No","Pragmatist","No","No","Standard hours"
279,"Republican","$100,001 - $150,000","Female","Single (no kids)","Current K-12","","","No","","","",""
280,"Republican","$50,000 - $74,999","Male","Married (w/kids)","High School Diploma","No","No","No","Idealist","Yes","Yes","Standard hours"
281,"Republican","$75,000 - $100,000","Female","Married (w/kids)","High School Diploma","No","No","No","","","Yes",""
282,"Republican","$75,000 - $100,000","Female","Married (w/kids)","Master's Degree","No","No","No","Pragmatist","Yes","Yes","Odd hours"
283,"Democrat","","Female","Single (no kids)","Master's Degree","Yes","No","No","Pragmatist","No","Yes","Standard hours"
284,"Democrat","$75,000 - $100,000","Male","Single (no kids)","High School Diploma","No","Yes","No","Idealist","Yes","Yes","Standard hours"
287,"Democrat","$50,000 - $74,999","Female","Domestic Partners (no kids)","Current Undergraduate","Yes","No","Yes","Pragmatist","No","No","Odd hours"
288,"Republican","over $150,000","Female","Married (w/kids)","Bachelor's Degree","No","Yes","No","Pragmatist","Yes","Yes","Standard hours"
289,"Republican","$25,001 - $50,000","Male","Single (no kids)","Current Undergraduate","No","No","Yes","Pragmatist","Yes","No","Odd hours"
290,"Republican","$100,001 - $150,000","Male","Married (w/kids)","","","","","","Yes","",""
291,"Democrat","$100,001 - $150,000","Female","Married (w/kids)","Bachelor's Degree","Yes","No","No","Pragmatist","No","Yes","Standard hours"
292,"Democrat","$50,000 - $74,999","Female","Married (w/kids)","Bachelor's Degree","","Yes","No","Pragmatist","Yes","Yes","Standard hours"
293,"Democrat","$25,001 - $50,000","Female","Single (no kids)","High School Diploma","No","No","No","Pragmatist","No","","Standard hours"
294,"Democrat","$25,001 - $50,000","Female","Single (no kids)","Bachelor's Degree","Yes","No","No","Pragmatist","No","Yes","Odd hours"
295,"Republican","","Female","Single (no kids)","Master's Degree","No","Yes","No","Pragmatist","","Yes","Odd hours"
297,"Republican","$100,001 - $150,000","Male","Single (no kids)","Master's Degree","No","Yes","Yes","Idealist","Yes","Yes","Odd hours"
298,"Republican","$25,001 - $50,000","Female","Single (no kids)","Current Undergraduate","No","Yes","No","Idealist","Yes","Yes","Standard hours"
299,"Republican","$75,000 - $100,000","Female","Married (w/kids)","Associate's Degree","No","No","No","Pragmatist","Yes","Yes","Odd hours"
300,"Democrat","$75,000 - $100,000","Male","Married (w/kids)","Bachelor's Degree","No","Yes","No","Idealist","Yes","Yes","Standard hours"
301,"Democrat","$25,001 - $50,000","Male","Single (no kids)","Current Undergraduate","No","Yes","Yes","Pragmatist","Yes","Yes","Odd hours"
302,"Democrat","$100,001 - $150,000","Female","Married (w/kids)","Master's Degree","No","No","No","Idealist","Yes","Yes","Standard hours"
303,"Democrat","$75,000 - $100,000","Male","Single (no kids)","Doctoral Degree","Yes","No","No","Pragmatist","Yes","Yes","Standard hours"
304,"Democrat","$25,001 - $50,000","Female","Single (no kids)","Master's Degree","Yes","Yes","No","Idealist","Yes","Yes","Standard hours"
